id_producto,nombre,precio,numero_cajas,categoria
779,IVAR,980000,3,dormitorio
78,KRITTER,288000,1,dormitorio
780,KOLBJÖRN,916000,1,dormitorio
781,SVALNÄS,1296000,1,dormitorio
782,IVAR,810400,3,dormitorio
783,ALGOT,444000,2,dormitorio
784,TIMMERVIKEN,92000,5,dormitorio
785,BILLY,560000,5,dormitorio
786,JONAXEL,760000,3,dormitorio
787,VITTSJÖ,828000,2,dormitorio
788,JONAXEL,780000,4,dormitorio
789,BROR,300000,3,dormitorio
79,HEMNES,1100000,5,dormitorio
790,IVAR,888000,3,dormitorio
791,ALGOT / BROR,1048800,1,dormitorio
792,BROR,900000,2,dormitorio
793,ALGOT,310880,3,dormitorio
794,IVAR,728000,1,dormitorio
795,JONAXEL,504000,1,dormitorio
796,TIMMERVIKEN,80000,5,dormitorio
797,IVAR,60000,2,dormitorio
798,ALGOT,196000,4,dormitorio
799,ALGOT,475200,4,dormitorio
8,FRANKLIN,103200,3,living
80,PLATSA,2080400,5,dormitorio
800,SVALNÄS,1656000,4,dormitorio
801,JONAXEL,584000,2,dormitorio
802,ALGOT,236800,3,dormitorio
803,TIMMERVIKEN,92000,5,living
804,BESTÅ,1480000,1,living
805,TIMMERVIKEN,80000,3,living
806,BESTÅ,656000,3,living
807,GLASSVIK,140000,2,living
808,KALLAX,200000,3,living
809,EKET,248800,1,living
81,SAGSTUA,596000,1,dormitorio
810,IVAR,236000,4,living
811,LOMMARP,892800,1,living
812,DETOLF,236000,1,living
813,KALLAX,400000,3,living
814,BILLY / OXBERG,252000,2,living
815,SYVDE,476000,3,living
816,EKET,301600,2,living
817,LIXHULT,464000,5,living
818,LIXHULT,140000,5,living
819,BILLY / OXBERG,156000,1,living
82,SANDVIKA,236000,3,dormitorio
820,HEMNES,1276000,1,living
821,BILLY / OXBERG,308000,3,living
822,BESTÅ,736000,2,living
823,LIXHULT,280000,1,living
824,BRUSALI,476000,5,living
825,IVAR,276000,1,living
826,BRIMNES,356000,4,living
827,LIXHULT,284800,2,living
828,BRIMNES,316000,5,living
829,ROTHULT,76000,4,living
83,NEIDEN,319200,1,dormitorio
830,BRUSALI,300000,1,living
831,HEMNES,1116000,4,living
832,LIXHULT,530400,3,living
833,BILLY / OXBERG,460000,1,living
834,LIATORP,1036000,5,living
835,BESTÅ,1496000,4,living
836,LIATORP,1076000,1,living
837,IVAR,352000,5,living
838,LIXHULT,116000,4,living
839,BRIMNES,380800,3,living
84,MINNEN,316000,3,dormitorio
840,EKET,524800,3,living
841,MILSBO,796000,5,living
842,BILLY / OXBERG,732000,3,living
843,HAVSTA,740000,3,living
844,LIATORP,1156000,3,living
845,LIXHULT,327200,4,living
846,IKEA PS,340000,3,living
847,EKET,496000,2,living
848,FABRIKÖR,508800,1,living
849,BESTÅ,836000,5,living
85,SLÄKT,300000,2,dormitorio
850,BILLY,412800,2,living
851,REGISSÖR,636800,2,living
852,BESTÅ,784000,2,living
853,BESTÅ,1976000,2,living
854,BILLY / MORLIDEN,196000,3,living
855,EDVALLA,20000,2,living
856,PLATSA,1014400,5,living
857,LIXHULT,71200,1,living
858,HEMNES,476000,3,living
859,BESTÅ,1120000,2,living
86,HAMMARN,319200,1,dormitorio
860,BRYGGJA,477600,2,living
861,BILLY / OXBERG,744000,1,living
862,LIXHULT,560000,2,living
863,LIXHULT,142400,2,living
864,BEKANT,1111200,5,living
865,ERIK,476000,1,living
866,BESTÅ,20000,1,living
867,BESTÅ,136000,3,living
868,MALSJÖ,1680000,1,living
869,HAVSTA,556000,2,living
87,BJÖRKSNÄS,1632000,1,dormitorio
870,LIXHULT,514400,5,living
871,GALANT,4232000,1,living
872,GALANT,756000,4,living
873,HÄLLAN,700000,2,living
874,UPPLEVA,116000,4,living
875,HÄLLAN,560000,5,living
876,BESTÅ,180000,2,living
877,FABRIKÖR,540800,2,living
878,BILLY / MORLIDEN,332000,2,living
879,GUBBARP,2400,1,living
88,SLÄKT,340000,2,dormitorio
880,EKET,998400,2,living
881,IDÅSEN,796000,2,living
882,BESTÅ,380000,1,living
883,HAVSTA,780000,4,living
884,BESTÅ,20000,2,living
885,BESTÅ,20000,5,living
886,BESTÅ,336000,2,living
887,LIXHULT,406400,4,living
888,BRIMNES,761600,5,living
889,HAVSTA,1520000,2,living
89,NORDLI,1832000,4,dormitorio
890,BESTÅ BURS,956000,5,living
891,MARKERAD,477600,1,living
892,EKET,284800,1,living
893,GALANT,5184000,3,living
894,HÄLLAN,520000,1,living
895,HAVSTA,796000,5,living
896,BESTÅ,1044000,5,living
897,EKET,156000,3,living
898,BESTÅ,20000,3,living
899,HAVSTA,992000,4,living
9,EKEDALEN / EKEDALEN,1740800,2,living
90,FYRESDAL,439200,1,dormitorio
900,BESTÅ,2384000,3,living
901,REGISSÖR,1084800,5,living
902,BESTÅ,384000,1,living
903,HÄLLAN,260000,3,living
904,BESTÅ,816000,1,living
905,LIXHULT,290400,5,living
906,FIXA,4480,4,living
907,ENERYDA,17600,5,living
908,HAVSTA,64000,1,living
909,BESTÅ,408000,3,living
91,SONGESAND,456000,4,dormitorio
910,BESTÅ,80000,2,living
911,LIATORP,3468000,5,living
912,BESTÅ,772000,2,living
913,EDVALLA,20000,3,living
914,BESTÅ,100000,4,living
915,BESTÅ,740000,3,living
916,BESTÅ,20000,1,living
917,LIXHULT,79200,1,living
918,HEDRA,7200,4,living
919,NANNARP,32000,1,living
92,MALM,756000,5,dormitorio
920,SELSVIKEN,100000,1,living
921,HAVSTA,676000,1,living
922,HAVSTA,1240000,3,living
923,HACKÅS,25600,4,living
924,BESTÅ,300000,2,living
925,LAPPVIKEN,36000,3,living
926,BESTÅ,24000,1,living
927,BILLY / OXBERG,1112000,2,living
928,BESTÅ,180000,2,living
929,HÄLLAN,220000,3,living
93,MYDAL,716000,5,dormitorio
930,HAVSTA,1036000,4,living
931,GALANT,2036000,4,living
932,BESTÅ,1280400,2,living
933,LIXHULT,213600,5,living
934,BESTÅ,1256000,5,living
935,NOTVIKEN,48000,3,living
936,BESTÅ,1456000,3,living
937,ENERYDA,28000,3,living
938,BESTÅ,108000,5,living
939,BESTÅ / EKET,1175200,1,living
94,TUFFING,380000,1,dormitorio
940,EKET,91200,3,living
941,BILLY / OXBERG,1836000,5,living
942,HÄLLAN,1260000,4,living
943,HAVSTA,2116000,5,living
944,LAPPVIKEN,25200,5,living
945,LIXHULT,672800,2,living
946,BEKANT,1084000,5,living
947,BILLSBRO,12000,2,living
948,MÖLLARP,9600,5,living
949,KALLVIKEN,76000,5,living
95,SÄBÖVIK,1396000,1,dormitorio
950,BESTÅ,120000,2,living
951,IDÅSEN,1196000,4,living
952,HAVSTA,1272000,2,living
953,HAVSTA,1560000,5,living
954,LIXHULT,311200,1,living
955,BILLSBRO,44000,3,living
956,BESTÅ,1240000,5,living
957,STALLARP,36000,4,living
958,EKET,1112800,1,living
959,SELSVIKEN,120000,5,living
96,LYCKSELE,80000,5,dormitorio
960,HÄLLAN,260000,4,living
961,KALLRÖR,20000,5,living
962,ÖSTERNÄS,39200,4,living
963,ENERYDA,28000,5,living
964,STUBBARP,28000,2,living
965,BESTÅ,20000,5,living
966,BESTÅ,48000,5,living
967,BESTÅ,476000,5,living
968,ENERYDA,28000,1,living
969,BEKANT,1035200,1,living
97,TARVA,696800,3,dormitorio
970,HAVSTA,716000,4,living
971,BILLSBRO,28000,2,living
972,BESTÅ,156000,3,living
973,GALANT,3632000,3,living
974,LIXHULT,158400,4,living
975,IDÅSEN,872000,2,living
976,HAVSTA,3664000,3,living
977,LIXHULT,396000,4,living
978,BILLY / MORLIDEN,1416000,4,living
979,SINDVIK,100000,5,living
98,HEMNES,556000,3,dormitorio
980,LAPPVIKEN,30800,1,living
981,BESTÅ,20000,1,living
982,HISHULT,13600,1,living
983,BAGGANÄS,40000,4,living
984,KLACKBERG,28000,3,living
985,KALLVIKEN,108000,1,living
986,HÄLLAN,300000,3,living
987,ENERYDA,13600,3,living
988,BESTÅ,180000,2,living
989,BESTÅ,88000,1,living
99,HEMNES,796000,3,dormitorio
990,HÄLLAN,1120000,3,living
991,HANVIKEN,60000,3,living
992,BESTÅ,380000,1,living
993,HAVSTA,1232000,3,living
994,BEKANT,800000,2,living
995,BAGGANÄS,21600,5,living
996,BEKANT,755200,1,living
997,HÄLLAN,2220000,3,living
998,BILLY / OXBERG,1096000,5,living
999,BESTÅ,792000,5,living
